Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ104А|p-n-p|150 (60°C)|>=5*|30**|10|50|<=1 (30 B)|9...36 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104Б|p-n-p|150 (60°C)|>=5*|15**|10|50|<=1 (15 B)|20...80 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104В|p-n-p|150 (60°C)|>=5*|15**|10|50|<=1 (15 B)|40...160 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ104Г|p-n-p|150 (60°C)|>=5*|30**|10|50|<=1 (30 B)|15...60 (5 В; 1 мА)|<=50 (5 В)|<=50|<=120*|-
КТ117А|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 В)|0,5...0,7 (UБ1Б2=10 В)|-|-|-|-
КТ117Б|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,65...0,9 (UБ1Б2=10 В)|-|-|-|-
КТ117В|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,5...0,7 (UБ1Б2=10 В)|-|-|-|-
КТ117Г|n-база|300|0,2***|30|30|50 (1* A)|<=1 (30 B)|0,65...0,9 (UБ1Б2=10 В)|-|-|-|-
КТ118А|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|100||<=500**
КТ118Б|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|100||<=500**
КТ118В|p-n-p|100 (100°C)|-|15|31|50|<=0,1 (15 B)|-|-|120|—|<=500**
КТ119А|n-база|25|0,2***|20|20|10 (50*)|-|0,5...0,65 (UБ1Б2 =10 В)|-|-|-|-
КТ119Б|n-база|25|0,2***|20|20|10 (50*)|-|0,6...0,75 (UБ1Б2 =10 В)|-|-|-|-
КТ120А|p-n-p|10|>=1|60|10|10 (20*)|<=0,5 (60 В|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120Б|p-n-p|10|>=1|30|10|10 (20*)|<=0,5 (30 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|-|-|-
КТ120В|p-n-p|10|>=1|60|10|10 (20*)|<=0,5 (60 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ120А-1|p-n-p|10|-|60|10|10|<=0,5 (60 B)|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120В-1|p-n-p|10|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ120А-5|p-n-p|10|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=50|-|-
КТ120В-5|p-n-p|20|-|60|10|10|-|20...200 (5 В; 1 мА)|<=5 (5 В)|<=110|-|-
КТ127А-1|n-p-n|15 (60°C)|>=0,1**|25|3|50|<=1 (25 B)|15...60 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ127Б-1|n-p-n|15 (60°C)|>=0,1**|25|3|50|<=1 (25 B)|40...200 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
КТ127В-1|n-p-n|15 (60°C)|>=0,1**|45|3|50|<=1 (25 B)|15...60 (5 В; 1 мА)|<=5 (5 В)|<=170|-|-
